Release   cybergraphics  cyberintuition cyberlayers vilintuisup  PicassoMonitor

V2.25     40.113         40.34          40.8        2.37         1.31

V2.24     40.111         40.34          40.8        2.37         1.31

V2.23     40.107         40.34          40.8        2.37         1.31

V2.22     40.105         40.34          40.8        2.37         1.31

V2.21     40.103         40.34          40.8        2.37         1.31

V2.20     40.95          40.34          40.8        2.37         1.31

V2.18     40.89          40.31          40.8        2.37         1.28

V2.16     40.65          40.30          40.8        2.37         1.28

V2.15     40.64          40.30          40.8        2.37         1.27

V2.14     40.64          40.28          40.7        2.37         1.27

V2.13     40.63          No General Public Release               1.27

V2.12     40.62          40.25          40.7        2.37         1.26

V2.11     40.61          No General Public Release

V2.10     40.60          40.25          40.7        2.37         1.26

V2.09     40.59          40.25          Limited Release (No Aminet)

V2.08     40.58          40.24          40.7        2.37         1.26

V2.07     40.57          40.24          40.7        2.37         1.26

V2.06     40.56          40.24          40.7        2.35         1.26

V2.05     40.55          Limited Release (No Aminet)

V2.04     40.54          40.23          40.5        2.35         1.24

V2.00     40.50          40.23          40.5        2.35         1.20

V40.49    40.49          40.21          40.5        2.34         1.20

V40.48    40.48          No Public Release

V40.47    40.47          40.21          40.5        2.34         1.20

V40.46    40.46          40.20          40.5        2.34         1.19

V40.45    40.45          40.20          40.5        2.34         1.19

V40.44    40.44          40.19          40.5        2.34         1.18

V40.43    40.43          40.19          40.5        2.33         1.18

V40.42    40.42          40.19          40.5        2.33         1.18

V40.41    40.41          40.15          40.3        2.31         1.18

V40.40    40.40          40.15          40.15       2.15         1.18

V40.36    40.36          40.7           40.2        2.10         1.17
 
V40.29    40.29          40.6           40.0        2.10         1.15

V40.23      ?              ?              ?          ?            ?
